name,normalized_name,description,type,source,source_id,language_hint,romanized,alias_of,confidence
Odin,odin,widely attested deity in Norse mythology,fictional_character,wikidata_fictional_characters_en,Q43610,en_romanized,true,,0.92
Anubis,anubis,"Egyptian deity of mummification and the afterlife, usually depicted as a man with a canine head",fictional_character,wikidata_fictional_characters_en,Q47534,en_romanized,true,,0.92
Aphrodite,aphrodite,"Greek goddess of love, beauty, pleasure, and procreation",fictional_character,wikidata_fictional_characters_en,Q35500,en_romanized,true,,0.92
Agni,agni,fire deity of Hinduism,fictional_character,wikidata_fictional_characters_en,Q394867,en_romanized,true,,0.92
Taibai Jinxing,taibai jinxing,deity in Chinese folk religion and Taoism,fictional_character,wikidata_fictional_characters_en,Q17023738,en_romanized,true,,0.92
Batara Guru,batara guru,"Supreme god in Indonesian mythology, a version of the Hindu god Shiva",fictional_character,wikidata_fictional_characters_en,Q17049434,en_romanized,true,,0.92
Rama in Jainism,rama in jainism,Jain deity,fictional_character,wikidata_fictional_characters_en,Q17064714,en_romanized,true,,0.92
Viraj,viraj,sanskrit term,fictional_character,wikidata_fictional_characters_en,Q17070267,en_romanized,true,,0.92
Dwarbasini,dwarbasini,Hindu Goddess,fictional_character,wikidata_fictional_characters_en,Q18112105,en_romanized,true,,0.92
Birupakshya,birupakshya,form of Lord Shiva,fictional_character,wikidata_fictional_characters_en,Q18208938,en_romanized,true,,0.92
Vishwambhari,vishwambhari,Hindu goddess,fictional_character,wikidata_fictional_characters_en,Q18211734,en_romanized,true,,0.92
Nara,nara,Hindu deity,fictional_character,wikidata_fictional_characters_en,Q18414878,en_romanized,true,,0.92
Shivadooti,shivadooti,form of Hindu goddess Adi Parashakti,fictional_character,wikidata_fictional_characters_en,Q19595638,en_romanized,true,,0.92
Lingbao Dafashi,lingbao dafashi,Investiture of the Gods character,fictional_character,wikidata_fictional_characters_en,Q19855212,en_romanized,true,,0.92
Banai,banai,Hindu goddess,fictional_character,wikidata_fictional_characters_en,Q19882230,en_romanized,true,,0.92
Polerammā,polerammā,Hindu goddess,fictional_character,wikidata_fictional_characters_en,Q19895307,en_romanized,true,,0.92
Jyoti,jyoti,Hindu goddess,fictional_character,wikidata_fictional_characters_en,Q22906043,en_romanized,true,,0.92
Hemadryamba,hemadryamba,Tutelary of Bannur,fictional_character,wikidata_fictional_characters_en,Q22908870,en_romanized,true,,0.92
Nataraja,nataraja,Hindu God Shiva depicted as Lord of the Dance,fictional_character,wikidata_fictional_characters_en,Q23641297,en_romanized,true,,0.92
Erald Grimwald,erald grimwald,fictional character from That Time I Got Reincarnated as a Slime,fictional_character,wikidata_fictional_characters_en,Q107435056,en_romanized,true,,0.92
